"","lon","lat","location"
"227",-3.72211,40.4215552,"CALLE DE ANICETO MARINAS 16 "
"228",NA,NA,"PASEO DE LA CASTELLANA 46 "
"229",-3.68993,40.39026,"CALLE DE LA ANTRACITA 10 "
"230",NA,NA,"PASEO DE SANTA MARIA DE LA CABEZA 8 "
"231",-3.6953075,40.4105962,"CALLE DE ATOCHA 107 "
"232",-3.693189,40.4084654,"PASEO DE SANTA MARIA DE LA CABEZA - PLAZA DEL EMPERADOR CARLOS V NA "
"233",NA,NA,"CALLE DE ALFONSO XII 8 "
"234",-3.6967994,40.4430044,"CALLE DE ALONSO CANO - CALLE DE CRISTOBAL BORDIU NA "
"235",-3.6852035,40.4590584,"AVENIDA DE ALBERTO ALCOCER - CALLE DEL PADRE DAMIAN NA "
"236",-3.70542,40.464338,"CALLE DEL MARQUES DE VIANA - PASEO DE LA DIRECCION NA "
"237",NA,NA,"CALLE DEL GENERAL MARTIN CEREZO - CALLE DEL GENERAL RICARDOS NA "
"238",-3.6197166,40.4375835,"CALLE DE JULIAN CAMARILLO 46 "
"239",-3.7723921,40.3825573,"AVENIDA DEL GENERAL FANJUL 63 "
"240",NA,NA,"CALLE DE ALCALA - CALLE DEL DOCTOR VALLEJO NA "
"241",NA,NA,"AVENIDA COMPLUTENSE 12 "
"242",-3.6844995,40.4152606,"PARQUE DEL RETIRO NA "
"243",NA,NA,"AVENIDA DE LA ALBUFERA 272 "
"244",NA,NA,"CARRETERA DEL ZARZON - PASEO DE LA VENTA NA "
"245",-3.6513933,40.3739954,"CAMINO DEL POZO DEL TIO RAIMUNDO 1 "
"246",-3.6492802,40.4477481,"CALLE DE JOSEFA VALCARCEL 2 "
"247",NA,NA,"CALLE DE ZAPARDIEL - CALLE DE ZUBIA NA "
"248",-3.6714837,40.4112971,"AVENIDA DE NAZARET 8 "
"249",-3.7587457,40.4263555,"PARQUE DE LA CASA DE CAMPO NA "
"250",-3.6881514,40.4292067,"CALLE DEL MARQUES DE VILLAMAGNA 6 "
"251",-3.7017868,40.4170238,"CALLE DE ALCALA 4 "
"252",-3.712081,40.4139777,"CALLE DE SEGOVIA 18 "
"253",-3.6999072,40.4252391,"CALLE DE SAN MATEO 8 "
"254",NA,NA,"CALLE DE ALCALA 52 "
"255",-3.7116463,40.4246727,"CALLE DE LA PRINCESA 2 "
"256",NA,NA,"CALLE DE FUENCARRAL - PLAZUELA DE ANTONIO VEGA NA "
"257",-3.6554922,40.5072579,"CALLE DE LOS PADRES DOMINICOS - CALLE DE MANUEL POMBO ANGULO NA "
"258",-3.6675256,40.4531274,"AVENIDA DE ALFONSO XIII 51 "
"259",NA,NA,"PASEO DE LOS PLATANOS NA "
"260",-3.6916066,40.4202318,"PLAZA DE CIBELES 2 "
"261",-3.7019146,40.4094013,"CALLE DE LAVAPIES 47 "
"262",NA,NA,"CALLE DE O'DONNELL 26 "
"263",NA,NA,"CALLE GRAN VIA 19 "
"264",-3.6992483,40.4383784,"CALLE DE ALONSO CANO - CALLE DE ESPRONCEDA NA "
"265",-3.63999,40.3875802,"AVENIDA DE LA ALBUFERA - AVENIDA DE MIGUEL HERNANDEZ NA "
"266",-3.6887103,40.4755019,"AVENIDA DE MONFORTE DE LEMOS 2 "
"267",-3.714677,40.4211673,"CALLE DE CADARSO - CUESTA DE SAN VICENTE NA "
"268",-3.6826111,40.4325961,"CALLE DE JUAN BRAVO 20 "
"269",NA,NA,"CALLE DE ALBASANZ - CALLE DE ALFONSO GOMEZ NA "
"270",NA,NA,"CALLE DE CARLOS SOLE - CALLE DE JOSE PAULETE NA "
"271",-3.6876459,40.4333698,"PASEO DE LA CASTELLANA 42 "
"272",-3.6848118,40.4443484,"CALLE DE JOAQUIN COSTA - PASEO DE LA CASTELLANA NA "
"273",-3.6552851,40.4230344,"AVENIDA DEL MARQUES DE CORBERA 14 "
"274",-3.7025914,40.4081284,"CALLE DE SOMBRERETE - CALLE DEL MESON DE PAREDES NA "
"275",-3.6864873,40.4708665,"CALLE DE MAURICIO LEGENDRE 17 "
"276",NA,NA,"CALLE DE ANTONIO MAIRENA 4 "
"277",-3.6844995,40.4152606,"PARQUE DEL RETIRO NA "
"278",NA,NA,"AVENIDA DE PABLO IGLESIAS - CALLE DE JUAN MONTALVO NA "
"279",NA,NA,"CARRETERA DEL PARQUE DE ATRACCIONES 1 "
"280",-3.7201867,40.3951386,"CALLE DEL GENERAL RICARDOS 49 "
"281",-3.6196137,40.4261408,"CALLE DE AMPOSTA - CALLE DE POBLADURA DEL VALLE NA "
"282",-3.7025914,40.4081284,"CALLE DE SOMBRERETE - CALLE DEL MESON DE PAREDES NA "
"283",-3.7022065,40.4295466,"GLORIETA DE BILBAO 3 "
"284",-3.6173346,40.3726387,"CALLE DE MUELA DE SAN JUAN - CAMINO DE LA SUERTE NA "
"285",-3.6807496,40.405127,"AVENIDA DE MENENDEZ PELAYO 38 "
"286",-3.6749609,40.5107512,"CALLE DE FROMISTA 13 "
"287",NA,NA,"AVENIDA DE FRANCISCO JAVIER SÁENZ DE OIZA - AVENIDA DE FRANCISCO PI Y MARGALL NA "
"288",NA,NA,"CALLE DE EMBAJADORES - PASEO DE SANTA MARIA DE LA CABEZA NA "
"289",NA,NA,"CALLE DE PORTOMARIN 5 "
"290",NA,NA,"AVENIDA DEL PALACIO NA "
"291",NA,NA,"CALLE DE ARTURO SORIA - CALLE DEL GENERAL KIRKPATRICK NA "
"292",-3.6474075,40.4851886,"AVENIDA DE NICETO ALCALA ZAMORA 3 "
"293",-3.7109346,40.3980331,"PARQUE DE MADRID RIO (RIBERA OESTE) KM. 5500 "
"294",NA,NA,"CALLE DE ARIADNA - CARRETERA A LA ESTACION DE HORTALEZA NA "
"295",NA,NA,"CALLE DE SAN BERNARDO 75 "
"296",-3.6874,40.4260776,"CALLE DE SERRANO 40 "
"297",-3.6042857,40.4536892,"AVENIDA DE LOGROÑO 34 "
"298",NA,NA,"CALLE MAYOR 81 "
"299",-3.6954253,40.4715403,"CALLE DEL PADRE RUBIO 61 "
